symbol,industry,sector,volume,pe_ratio,pb_ratio,dividend_yield,pe_comp,pb_comp,div_comp,value_metric,buy_to_sell_ratio,news
RAMP,Packaged Software,Technology Services,505450.0,27.990928,1.94307,0.0,1.3218568530489594,4.631845481634732,0.0,5.954,6.0,"[{'title': 'Is LiveRamp (RAMP) Quietly Redefining TV Data Connectivity With DIRECTV’s Expanded CAPI Integration?', 'publisher': 'Simply Wall St.', 'link': 'https://finance.yahoo.com/markets/stocks/articles/liveramp-ramp-quietly-redefining-tv-030725806.html', 'summary': 'In April 2026, DIRECTV Advertising announced it had expanded its relationship with LiveRamp by integrating LiveRamp’s Conversions API Hub into DIRECTV’s advertising platform, enhancing closed-loop attribution, privacy-focused server-to-server measurement, and real-time conversion insights across its premium digital and TV inventory. This move makes DIRECTV Advertising the first multichannel video programming distributor to offer a connector from LiveRamp’s CAPI Hub, highlighting growing...', 'pub_date': '2026-04-18T03:07:25Z', 'formatted_date': '04-18-2026'}]"
RFDI,Investment Trusts Or Mutual Funds,Miscellaneous,1175.0,14.50055,1.849254,3.523,1.03444352110782,1.351896494478314,1.1743333333333337,3.561,,[]
ADDYY,Apparel/Footwear,Consumer Non-Durables,58996.0,19.094859,4.25938,0.977555,0.0,0.0,0.0,0.0,23.0,[]
APAM,Investment Managers,Finance,678544.0,9.408542,6.12337,8.654603,1.5942959068472031,0.0,2.8848676666666666,4.479,,
GRNJ,Investment Trusts Or Mutual Funds,Miscellaneous,127087.0,42.891678,4.59201,0.4524,0.0,0.0,0.0,0.0,,[]
MRBK,Regional Banks,Finance,148271.0,9.287372,1.12401,2.680895,1.6150962834265712,2.224179500182383,0.0,3.839,,[]
AKBA,Pharmaceuticals: Major,Health Technology,1533999.0,-78.89,11.5579,0.0,0.0,0.0,0.0,0.0,,[]
NWPX,Construction Materials,Non-Energy Minerals,101353.0,23.62218,2.04446,0.0,0.0,1.222816782915782,0.0,1.223,,[]
RRC,Oil & Gas Production,Energy Minerals,2006943.0,11.151022,2.16147,0.876362,1.345168182790779,1.1566202630617126,0.0,2.502,7.0,[]
SCM,Investment Trusts/Mutual Funds,Miscellaneous,110783.0,10.026219,0.745559,16.104603,1.4960774345742898,3.353188681244543,5.368201,10.217,,[]
CEFS,Investment Trusts Or Mutual Funds,Miscellaneous,61226.0,,,0.0,0.0,0.0,0.0,0.0,,[]
A,Medical Specialties,Health Technology,2078960.0,25.49279,4.73151,0.870092,1.3729372108741336,1.0821069806467702,0.0,2.455,18.0,[]
ETR,Electric Utilities,Utilities,2489776.0,29.042499,3.03215,2.186178,0.0,0.0,0.0,0.0,17.0,[]
RIOT,Information Technology Services,Technology Services,20773213.0,-9.53,2.37629,0.0,0.0,1.384511149733408,0.0,1.385,18.0,[]
CSTM,Aluminum,Non-Energy Minerals,2623839.0,16.216919,4.43686,0.0,0.0,0.0,0.0,0.0,,[]
SCHC,Investment Trusts Or Mutual Funds,Miscellaneous,230292.0,20.597904,1.656802,2.4091,0.0,1.5089310611648223,0.0,1.509,,[]
AMUB,Investment Trusts Or Mutual Funds,Miscellaneous,1060.0,,,6.1855,0.0,0.0,2.0618333333333334,2.062,,[]
SCHM,Investment Trusts Or Mutual Funds,Miscellaneous,968500.0,28.983747,2.955013,1.2467,0.0,0.0,0.0,0.0,,[]
CMG,Restaurants,Consumer Services,20963028.0,29.408165,15.5015,0.0,1.0299860599938826,1.4024449246847075,0.0,2.432,28.0,[]
ES,Electric Utilities,Utilities,1387665.0,15.058617,1.59278,4.431024,0.0,1.5695827421238338,1.477008,3.047,7.0,[]
ST,Electronic Equipment/Instruments,Electronic Technology,2122534.0,197.799625,2.21155,1.136095,0.0,2.306074924826479,0.0,2.306,7.0,[]
CLPS,Information Technology Services,Technology Services,1757.0,-3.7,0.448799,0.0,0.0,7.330675870489907,0.0,7.331,,[]
CGC,Agricultural Commodities/Milling,Process Industries,10327125.0,-0.93,0.799015,0.0,0.0,3.128852399516905,0.0,3.129,2.0,[]
DNP,Investment Trusts/Mutual Funds,Miscellaneous,567740.0,9.36,1.1582,7.669616,1.6025641025641026,2.158521844241064,2.556538666666667,6.318,,[]
PPIH,Industrial Machinery,Producer Manufacturing,63052.0,15.554599,2.91409,0.0,0.0,0.0,0.0,0.0,,[]
NWSA,Publishing: Newspapers,Consumer Services,4181682.0,34.32991,1.67505,0.757289,0.0,3.283484075102236,0.0,3.283,11.0,[]
UBSI,Regional Banks,Finance,780146.0,12.34107,1.10909,3.411417,1.2154537653542197,2.2541002082788593,1.137139,4.607,,[]
MT,Steel,Non-Energy Minerals,675610.0,14.245379,0.824905,0.79197,1.0529730377829891,3.030652014474394,0.0,4.084,11.0,[]
YUM,Restaurants,Consumer Services,3012601.0,27.968637,-5.8679,1.856029,1.0829987889649395,0.0,0.0,1.083,14.0,[]
CRM,Packaged Software,Technology Services,8664378.0,23.099408,2.83026,0.923521,1.601772651489597,3.179919866019376,0.0,4.782,42.0,[]
BYSI,Pharmaceuticals: Major,Health Technology,4213.0,-7.89,-1.9947,0.0,0.0,0.0,0.0,0.0,,[]
WOLF,Semiconductors,Electronic Technology,5124875.0,-1.85,1.2941,0.0,0.0,10.795147206552818,0.0,10.795,,[]
LXU,Chemicals: Agricultural,Process Industries,1236614.0,42.810938,2.00667,0.0,0.0,1.2458451065695904,0.0,1.246,,[]
EMA,Electric Utilities,Utilities,116319.0,21.764269,1.82263,4.00257,0.0,1.371644272287848,1.3341900000000002,2.706,6.0,[]
EMXC,Investment Trusts Or Mutual Funds,Miscellaneous,2666529.0,19.661198,2.89732,1.8236,0.0,0.0,0.0,0.0,,[]
XHS,Investment Trusts Or Mutual Funds,Miscellaneous,2137.0,30.551569,2.725751,0.4927,0.0,0.0,0.0,0.0,,[]
ENS,Electrical Products,Producer Manufacturing,257285.0,26.062414,4.08841,0.488031,0.0,0.0,0.0,0.0,4.0,[]
F,Motor Vehicles,Consumer Durables,44195054.0,-6.52,1.46224,4.803843,0.0,3.1458584090163035,1.601281,4.747,6.0,[]
RVP,Medical Specialties,Health Technology,7744.0,-1.5,0.259623,0.0,0.0,19.7209030016601,0.0,19.721,,[]
DGICB,Multi-Line Insurance,Finance,435.0,9.031904,1.12518,3.340081,1.6607793882663056,2.221866723546454,1.1133603333333333,4.996,,[]
LULU,Apparel/Footwear,Consumer Non-Durables,2560165.0,11.079025,3.44991,0.0,1.353909752888905,0.0,0.0,1.354,4.0,[]
LZAGY,Biotechnology,Health Technology,70190.0,-113.99,4.35638,0.479219,0.0,1.0972412874909905,0.0,1.097,23.0,[]
SRTS,Medical Specialties,Health Technology,14771.0,-8.38,1.3555,0.0,0.0,3.777203983769827,0.0,3.777,,[]
UPWK,Personnel Services,Commercial Services,3625594.0,12.74991,2.20573,0.0,1.1764788927921843,1.133411614295494,0.0,2.31,7.0,[]
VHT,Investment Trusts Or Mutual Funds,Miscellaneous,162905.0,28.733063,4.728089,1.5137,0.0,0.0,0.0,0.0,,[]
PWCDF,Multi-Line Insurance,Finance,39880.0,18.839873,2.04285,3.350533,0.0,1.2237805027290305,1.116844333333333,2.341,4.0,[]
SXT,Food: Specialty/Candy,Consumer Non-Durables,543213.0,36.807135,4.4142,1.315789,0.0,0.0,0.0,0.0,,[]
MKTX,Investment Banks/Brokers,Finance,376368.0,24.112332,5.00054,1.910947,0.0,0.0,0.0,0.0,6.0,[]
ALMR,Biotechnology,Health Technology,201359.0,,,0.0,0.0,0.0,0.0,0.0,,[]
PHR,Packaged Software,Technology Services,961564.0,256.533333,1.73068,0.0,0.0,5.200268102711073,0.0,5.2,15.0,"[{'title': ""Can OptimizeRx's Cash Strength Cushion Near-Term Headwinds?"", 'publisher': 'Zacks', 'link': 'https://finance.yahoo.com/markets/stocks/articles/optimizerxs-cash-strength-cushion-near-140800059.html', 'summary': ""OPRX's rising cash flow, DAAP adoption and expanding pharma ties boost outlook despite near-term revenue softness and cautious client spending."", 'pub_date': '2026-04-21T14:08:00Z', 'formatted_date': '04-21-2026'}]"
BABA,Internet Retail,Retail Trade,6051637.0,23.832818,2.12658,0.777241,1.767310940737264,4.504885779044287,0.0,6.272,46.0,[]
NVST,Medical Specialties,Health Technology,3758991.0,96.364291,1.41162,0.0,0.0,3.627038438106573,0.0,3.627,7.0,[]
SO,Electric Utilities,Utilities,3809684.0,23.955752,2.86132,3.15666,0.0,0.0,1.05222,1.052,7.0,[]
XZO,Packaged Software,Technology Services,114587.0,18.805386,5.84494,0.0,1.9675214324236685,1.5397933939441637,0.0,3.507,,[]
ACA,Construction Materials,Non-Energy Minerals,238340.0,28.372871,2.23425,0.166058,0.0,1.1189437171310284,0.0,1.119,,[]
PBH,Pharmaceuticals: Major,Health Technology,452130.0,15.416347,1.50794,0.0,5.189296789959386,3.448413066832898,0.0,8.638,7.0,[]
IRDM,Specialty Telecommunications,Communications,1658728.0,37.72443,8.44208,1.524064,0.0,0.0,0.0,0.0,6.0,[]
SMG,Chemicals: Agricultural,Process Industries,1118864.0,45.831361,-7.8531,3.894954,0.0,0.0,1.298318,1.298,5.0,[]
NCLH,Hotels/Resorts/Cruise lines,Consumer Services,16519213.0,19.877609,3.74731,0.0,1.5831884005767494,1.2595701983556202,0.0,2.843,14.0,[]
HRTG,Property/Casualty Insurance,Finance,289425.0,4.731237,1.81128,0.0,3.1704182225494093,1.3802393887195796,0.0,4.551,,[]
MTCH,Internet Software/Services,Technology Services,2660785.0,15.540029,-33.8653,2.058505,2.3809479377419436,0.0,0.0,2.381,8.0,[]
CZR,Casinos/Gaming,Consumer Services,3368922.0,-11.53,1.62092,0.0,0.0,6.786269525948227,0.0,6.786,15.0,[]
