Symbol,Value,BuySellRatio,AggValue
OGN,26.672,1.0,26.672
KSS,25.793,2.0,51.586
WB,24.143,11.0,265.573
MSTR,14.288,14.0,200.032
FMC,11.989,6.0,71.934
M,11.651,2.0,23.302
KMX,11.569,4.0,46.276
PENN,11.337,11.0,124.707
SWKS,11.283,4.0,45.132
PFE,11.147,11.0,122.617
DXC,10.0,0.0,0.0
CZR,9.519,14.0,133.266
FLR,9.378,5.0,46.89
VZ,9.318,10.0,93.17999999999999
HOG,9.128,5.0,45.64
LNC,8.807,2.0,17.614
T,8.705,16.0,139.28
BIIB,8.686,17.0,147.662
MRK,8.4,18.0,151.20000000000002
ARE,8.257,4.0,33.028
BBWI,8.102,7.0,56.714
IPGP,8.053,5.0,40.265
WU,7.822,1.0,7.822
INTC,7.815,5.0,39.075
MOS,7.757,13.0,100.841
NWL,7.61,4.0,30.44
BHF,7.6,1.0,7.6
GFS,7.491,13.0,97.383
F,7.109,4.0,28.436
NAVI,7.065,1.0,7.065
QRVO,6.943,3.0,20.829
FSLR,6.519,31.0,202.089
DOW,6.458,4.0,25.832
LKQ,6.454,7.0,45.178
REGN,6.443,21.0,135.303
HPE,6.413,10.0,64.13
PDD,6.217,31.0,192.72699999999998
GT,5.967,5.0,29.834999999999997
ENPH,5.942,8.0,47.536
KBH,5.917,2.0,11.834
INCY,5.881,11.0,64.691
LYB,5.871,6.0,35.226
DV,5.804,13.0,75.452
BABA,5.745,49.0,281.505
VICI,5.635,20.0,112.69999999999999
XRAY,5.602,3.0,16.806
KHC,5.57,2.0,11.14
EMN,5.496,12.0,65.952
WHR,5.456,2.0,10.912
NBR,5.29,1.0,5.29
AAP,5.236,1.0,5.236
ET,5.15,18.0,92.7
NOK,5.114,19.0,97.166
DG,5.095,13.0,66.235
PVH,5.047,10.0,50.47
ON,5.045,17.0,85.765
DIS,5.04,25.0,126.0
