symbol,industry,sector,volume,pe_ratio,pb_ratio,dividend_yield,pe_comp,pb_comp,div_comp,value_metric,buy_to_sell_ratio
RAMP,Packaged Software,Technology Services,505450.000000,27.990928,1.94307,0.0,1.3218568530489594,4.631845481634732,0,5.954,6.0
RFDI,Investment Trusts Or Mutual Funds,Miscellaneous,1175.000000,14.50055,1.849254,3.523,1.03444352110782,1.351896494478314,1.1743333333333335,3.561,
ADDYY,Apparel/Footwear,Consumer Non-Durables,58996.000000,19.094859,4.25938,0.977555,0,0,0,0,23.0
APAM,Investment Managers,Finance,678544.000000,9.408542,6.12337,8.654603,1.5942959068472031,0,2.8848676666666666,4.479,
GRNJ,Investment Trusts Or Mutual Funds,Miscellaneous,127087.000000,42.891678,4.59201,0.4524,0,0,0,0,
MRBK,Regional Banks,Finance,148271.000000,9.287372,1.12401,2.680895,1.6150962834265712,2.224179500182383,0,3.839,
AKBA,Pharmaceuticals: Major,Health Technology,1533999.000000,-78.89,11.5579,0.0,0,0,0,0,
NWPX,Construction Materials,Non-Energy Minerals,101353.000000,23.62218,2.04446,0.0,0,1.222816782915782,0,1.223,
RRC,Oil & Gas Production,Energy Minerals,2006943.000000,11.151022,2.16147,0.876362,1.3451681827907793,1.1566202630617126,0,2.502,7.0
SCM,Investment Trusts/Mutual Funds,Miscellaneous,110783.000000,10.026219,0.745559,16.104603,1.4960774345742898,3.353188681244543,5.368201,10.217,
CEFS,Investment Trusts Or Mutual Funds,Miscellaneous,61226.000000,,,0.0,0,0,0,0,
A,Medical Specialties,Health Technology,2078960.000000,25.49279,4.73151,0.870092,1.3729372108741336,1.0821069806467702,0,2.455,18.0
ETR,Electric Utilities,Utilities,2489776.000000,29.042499,3.03215,2.186178,0,0,0,0,17.0
RIOT,Information Technology Services,Technology Services,20773213.000000,-9.53,2.37629,0.0,0,1.384511149733408,0,1.385,18.0
CSTM,Aluminum,Non-Energy Minerals,2623839.000000,16.216919,4.43686,0.0,0,0,0,0,
SCHC,Investment Trusts Or Mutual Funds,Miscellaneous,230292.000000,20.597904,1.656802,2.4091,0,1.5089310611648223,0,1.509,
AMUB,Investment Trusts Or Mutual Funds,Miscellaneous,1060.000000,,,6.1855,0,0,2.0618333333333334,2.062,
SCHM,Investment Trusts Or Mutual Funds,Miscellaneous,968500.000000,28.983747,2.955013,1.2467,0,0,0,0,
CMG,Restaurants,Consumer Services,20963028.000000,29.408165,15.5015,0.0,1.0299860599938826,1.4024449246847077,0,2.432,28.0
ES,Electric Utilities,Utilities,1387665.000000,15.058617,1.59278,4.431024,0,1.5695827421238338,1.4770079999999999,3.047,7.0
ST,Electronic Equipment/Instruments,Electronic Technology,2122534.000000,197.799625,2.21155,1.136095,0,2.306074924826479,0,2.306,7.0
CLPS,Information Technology Services,Technology Services,1757.000000,-3.7,0.448799,0.0,0,7.330675870489907,0,7.331,
CGC,Agricultural Commodities/Milling,Process Industries,10327125.000000,-0.93,0.799015,0.0,0,3.128852399516905,0,3.129,2.0
DNP,Investment Trusts/Mutual Funds,Miscellaneous,567740.000000,9.36,1.1582,7.669616,1.6025641025641026,2.158521844241064,2.556538666666667,6.318,
PPIH,Industrial Machinery,Producer Manufacturing,63052.000000,15.554599,2.91409,0.0,0,0,0,0,
NWSA,Publishing: Newspapers,Consumer Services,4181682.000000,34.32991,1.67505,0.757289,0,3.283484075102236,0,3.283,11.0
UBSI,Regional Banks,Finance,780146.000000,12.34107,1.10909,3.411417,1.2154537653542197,2.2541002082788593,1.1371390000000001,4.607,
MT,Steel,Non-Energy Minerals,675610.000000,14.245379,0.824905,0.79197,1.0529730377829891,3.030652014474394,0,4.084,11.0
YUM,Restaurants,Consumer Services,3012601.000000,27.968637,-5.8679,1.856029,1.0829987889649395,0,0,1.083,14.0
CRM,Packaged Software,Technology Services,8664378.000000,23.099408,2.83026,0.923521,1.6017726514895967,3.179919866019376,0,4.782,42.0
BYSI,Pharmaceuticals: Major,Health Technology,4213.000000,-7.89,-1.9947,0.0,0,0,0,0,
WOLF,Semiconductors,Electronic Technology,5124875.000000,-1.85,1.2941,0.0,0,10.795147206552818,0,10.795,
LXU,Chemicals: Agricultural,Process Industries,1236614.000000,42.810938,2.00667,0.0,0,1.2458451065695904,0,1.246,
EMA,Electric Utilities,Utilities,116319.000000,21.764269,1.82263,4.00257,0,1.371644272287848,1.3341900000000002,2.706,6.0
EMXC,Investment Trusts Or Mutual Funds,Miscellaneous,2666529.000000,19.661198,2.89732,1.8236,0,0,0,0,
XHS,Investment Trusts Or Mutual Funds,Miscellaneous,2137.000000,30.551569,2.725751,0.4927,0,0,0,0,
ENS,Electrical Products,Producer Manufacturing,257285.000000,26.062414,4.08841,0.488031,0,0,0,0,4.0
F,Motor Vehicles,Consumer Durables,44195054.000000,-6.52,1.46224,4.803843,0,3.1458584090163035,1.601281,4.747,6.0
RVP,Medical Specialties,Health Technology,7744.000000,-1.5,0.259623,0.0,0,19.7209030016601,0,19.721,
DGICB,Multi-Line Insurance,Finance,435.000000,9.031904,1.12518,3.340081,1.6607793882663056,2.2218667235464546,1.1133603333333333,4.996,
LULU,Apparel/Footwear,Consumer Non-Durables,2560165.000000,11.079025,3.44991,0.0,1.353909752888905,0,0,1.354,4.0
LZAGY,Biotechnology,Health Technology,70190.000000,-113.99,4.35638,0.479219,0,1.0972412874909903,0,1.097,23.0
SRTS,Medical Specialties,Health Technology,14771.000000,-8.38,1.3555,0.0,0,3.777203983769827,0,3.777,
UPWK,Personnel Services,Commercial Services,3625594.000000,12.74991,2.20573,0.0,1.1764788927921845,1.133411614295494,0,2.31,7.0
VHT,Investment Trusts Or Mutual Funds,Miscellaneous,162905.000000,28.733063,4.728089,1.5137,0,0,0,0,
