symbol,industry,sector,volume,pe_ratio,pb_ratio,dividend_yield,pe_comp,pb_comp,value_score,income_score,quality_score,yield_trap_flag,value_metric,buy_to_sell_ratio
A,Medical Specialties,Health Technology,1256426.0,25.477356,4.72865,0.00870619,1.3737689264144992,1.0827614646886532,1.257,0.0,1.0,False,0.928,18.0
AA,Aluminum,Non-Energy Minerals,3034044.0,16.035696,2.74327,0.00627058,0.0,0.0,0.0,0.0,1.0,False,0.3,4.5
AACI,Financial Conglomerates,Finance,101.0,,-12109.7561,0.0,0.0,0.0,0.0,0.0,-0.3,False,-0.09,0.0
AAEQ,Investment Trusts Or Mutual Funds,Miscellaneous,202.0,28.984962,5.727003,0.009812,0.0,0.0,0.0,0.0,0.4,False,0.12,0.0
AAL,Airlines,Transportation,49175055.0,38.230493,-1.9207,0.0,0.0,0.0,0.0,0.0,0.8,False,0.24,15.0
AAON,Industrial Machinery,Producer Manufacturing,489410.0,72.076317,8.517,0.0042867899999999995,0.0,0.0,0.0,0.0,0.7,False,0.21,6.0
AAOX,Investment Trusts Or Mutual Funds,Miscellaneous,2915454.0,,,0.0,0.0,0.0,0.0,0.0,0.3,False,0.09,0.0
AAP,Specialty Stores,Retail Trade,896443.0,81.958408,1.62448,0.0168039,0.0,4.5553038510784996,1.822,0.0,0.7,False,1.121,0.6666666666666666
AAPL,Telecommunications Equipment,Electronic Technology,79915442.0,32.8197,45.2384,0.00383269,1.462536220623589,0.0,0.878,0.0,1.0,False,0.739,19.0
AAT,Real Estate Investment Trusts,Finance,264600.0,69.94941,1.12025,0.06557377,0.0,2.2316447221602322,0.893,1.5,0.7,False,0.957,0.0
ABBV,Pharmaceuticals: Major,Health Technology,6342884.0,103.939796,-111.695,0.03189476,0.0,0.0,0.0,1.0631586666666668,1.0,False,0.513,24.0
ABLG,Investment Trusts Or Mutual Funds,Miscellaneous,1423.0,20.434113,5.219304,0.016286000000000002,0.0,0.0,0.0,0.0,0.4,False,0.12,0.0
ABM,Miscellaneous Commercial Services,Commercial Services,317166.0,16.081987,1.38654,0.027205879999999998,0.0,1.8030493170049187,0.721,0.0,0.9,False,0.631,3.0
ABNB,Hotels/Resorts/Cruise lines,Consumer Services,2528293.0,34.78304,10.3057,0.0,0.0,0.0,0.0,0.0,1.0,False,0.3,11.0
ABT,Medical Specialties,Health Technology,12860714.0,25.293216,3.03758,0.026875209999999997,1.383770256815108,1.6855523146715476,1.504,0.0,1.2,False,1.112,24.0
ACA,Construction Materials,Non-Energy Minerals,551562.0,29.793399,2.34612,0.0015814,0.0,1.0655891429253406,0.426,0.0,0.7,False,0.423,0.0
ACAA,Financial Conglomerates,Finance,527.0,,,0.0,0.0,0.0,0.0,0.0,-0.3,False,-0.09,0.0
ACCS,Packaged Software,Technology Services,3871.0,7.103039,1.00242,0.0,5.209037990640344,8.978272580355538,6.717,0.0,0.4,False,3.478,0.0
ACES,Investment Trusts Or Mutual Funds,Miscellaneous,34053.0,-24.432919,2.629497,0.008203,0.0,0.0,0.0,0.0,-0.1,False,-0.03,0.0
ACGL,Multi-Line Insurance,Finance,2002784.0,7.25204,1.42713,0.0,2.0683835169138614,1.7517675334412421,1.942,0.0,1.0,False,1.271,6.0
ACGP,Investment Managers,Finance,100.0,15.808927,0.881111,0.0076238899999999995,0.0,2.837326965615002,1.135,0.0,0.4,False,0.688,
ACH,Medical Specialties,Health Technology,660224.0,-0.26,-0.6198,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
ACHC,Medical/Nursing Services,Health Services,5246616.0,-2.28,0.750481,0.0,0.0,3.3311969257049814,1.332,0.0,0.5,False,0.816,7.0
ACHR,Aerospace & Defense,Electronic Technology,31328320.0,-5.93,1.93882,0.0,0.0,2.6201504007592247,1.048,0.0,0.5,False,0.674,6.0
ACI,Food Retail,Retail Trade,5013385.0,42.411276,4.58409,0.03679525,0.0,0.0,0.0,1.2265083333333335,1.2,False,0.605,6.5
ACIU,Pharmaceuticals: Major,Health Technology,458021.0,-3.55,5.44142,0.0,0.0,0.0,0.0,0.0,0.2,False,0.06,0.0
ACIW,Packaged Software,Technology Services,518334.0,19.984279,2.92231,0.0,1.85145533646723,3.079755398982312,2.343,0.0,0.7,False,1.381,5.0
ACLS,Industrial Machinery,Producer Manufacturing,317366.0,36.638748,4.12983,0.0,0.0,0.0,0.0,0.0,0.7,False,0.21,3.0
ACN,Information Technology Services,Technology Services,3574711.0,14.639361,3.52053,0.03564434,1.1995059073958214,0.0,0.72,1.1881446666666666,1.2,False,0.958,21.0
ACSAY,Engineering & Construction,Industrial Services,431.0,34.521123,6.6052,0.0,0.0,0.0,0.0,0.0,0.4,False,0.12,
ACT,Multi-Line Insurance,Finance,517794.0,9.462961,1.13471,0.01965832,1.585127530378705,2.2032061055247594,1.832,0.0,0.7,False,1.126,1.0
ADBE,Packaged Software,Technology Services,5067605.0,14.335727,8.73932,0.0,2.5809643277944674,1.029828407702201,1.961,0.0,1.0,False,1.28,5.666666666666667
ADC,Real Estate Investment Trusts,Finance,709777.0,41.751042,1.52728,0.04030606,0.0,1.6368969671572993,0.655,1.3435353333333333,0.9,False,0.866,12.0
ADCT,Pharmaceuticals: Major,Health Technology,979876.0,-3.19,-2.5917,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,6.0
ADI,Semiconductors,Electronic Technology,1986774.0,73.480199,5.8124,0.010117830000000001,0.0,2.408643589567132,0.963,0.0,1.0,False,0.781,29.0
ADMA,Biotechnology,Health Technology,4128445.0,17.083333,5.10814,0.0,3.2587317709020835,0.0,1.955,0.0,1.0,False,1.278,0.0
ADNT,Auto Parts: OEM,Producer Manufacturing,765185.0,-5.9,0.950342,0.0,0.0,2.630631919877265,1.052,0.0,0.2,False,0.586,7.0
ADP,Packaged Software,Technology Services,2621704.0,19.752649,13.3704,0.03057469,1.8731664801009726,0.0,1.124,1.0191563333333333,1.2,False,1.126,2.0
ADSK,Packaged Software,Technology Services,2342727.0,45.33369,16.5005,0.0,0.0,0.0,0.0,0.0,1.0,False,0.3,32.0
ADT,Miscellaneous Commercial Services,Commercial Services,8515136.0,10.676308,1.63398,0.02921647,1.4049800736359421,1.5300064872275059,1.455,0.0,1.2,False,1.087,4.0
ADX,Investment Trusts/Mutual Funds,Miscellaneous,199634.0,6.121096,0.971415,0.06413993999999999,2.4505415370057912,2.5735653659867306,2.5,1.5,0.7,False,1.76,0.0
AEAQ,Financial Conglomerates,Finance,509.0,851.282051,1.14402,0.0,0.0,2.185276481180399,0.874,0.0,0.4,False,0.557,0.0
AEIS,Electronic Production Equipment,Electronic Technology,435294.0,99.856942,10.6347,0.00104191,0.0,0.0,0.0,0.0,0.7,False,0.21,8.0
AEO,Apparel/Footwear Retail,Retail Trade,5013733.0,15.983118,1.73832,0.02870264,0.0,1.4381701873072852,0.575,0.0,1.2,False,0.647,1.0
AEP,Electric Utilities,Utilities,2325197.0,20.584305,2.38158,0.02742324,0.0,1.049723292939981,0.42,0.0,1.2,False,0.57,14.0
AERO,Airlines,Transportation,272367.0,6.474851,-3.7351,0.0,4.985442908261518,0.0,2.991,0.0,0.5,False,1.645,8.0
AES,Electric Utilities,Utilities,19429996.0,10.987758,2.53294,0.04870588,1.3651556577784112,0.0,0.819,1.5,1.2,False,1.07,1.0
AEYE,Internet Software/Services,Technology Services,168660.0,-30.79,18.456,0.0,0.0,0.0,0.0,0.0,0.2,False,0.06,0.0
AFIF,Investment Trusts Or Mutual Funds,Miscellaneous,37663.0,,,0.0,0.0,0.0,0.0,0.0,-0.3,False,-0.09,0.0
AFL,Multi-Line Insurance,Finance,1979300.0,12.898723,2.58621,0.02067388,1.162905816335462,0.0,0.698,0.0,1.2,False,0.709,0.75
AGBK,Regional Banks,Finance,180401.0,8.870261,3.40392,0.0,1.6910438148325062,0.0,1.015,0.0,0.7,False,0.717,11.0
AGIO,Pharmaceuticals: Major,Health Technology,1165962.0,-3.88,1.49809,0.0,0.0,3.4710865168314324,1.388,0.0,0.5,False,0.844,7.0
AGM,Finance/Rental/Leasing,Finance,153892.0,10.459798,1.55818,0.03509781,1.4340621109509,1.604435944499352,1.502,1.169927,0.9,False,1.255,0.0
AGMB,Biotechnology,Health Technology,53729.0,,3.43959,0.0,0.0,1.3751639003485883,0.55,0.0,-0.1,False,0.245,0.0
AGNC,Real Estate Investment Trusts,Finance,11440323.0,9.133101,1.2385,0.13067151000000002,1.6423775451514222,2.0185708518368997,1.793,0.0,0.4,True,1.016,5.0
AGRO,Agricultural Commodities/Milling,Process Industries,1068337.0,-405.25,1.21359,0.024829669999999998,0.0,2.0600037904069746,0.824,0.0,0.7,False,0.622,2.0
AGX,Engineering & Construction,Industrial Services,314411.0,68.79563,20.2195,0.00279859,0.0,0.0,0.0,0.0,0.7,False,0.21,3.0
AGYS,Packaged Software,Technology Services,270709.0,59.757463,5.74834,0.0,0.0,1.5656693932509211,0.626,0.0,0.7,False,0.523,6.0
AHR,Real Estate Investment Trusts,Finance,1547931.0,121.367113,2.843,0.01969279,0.0,0.0,0.0,0.0,1.0,False,0.3,11.0
AIFC,Environmental Services,Industrial Services,4118281.0,-0.22,0.083053,0.0,0.0,30.101260640795637,12.041,0.0,0.5,False,6.171,0.0
AIG,Multi-Line Insurance,Finance,9456260.0,13.77989,0.978537,0.02406417,1.0885427967857508,2.554834410962488,1.675,0.0,1.2,False,1.198,10.0
AIRR,Investment Trusts Or Mutual Funds,Miscellaneous,680575.0,33.465042,4.115715,0.006384,0.0,0.0,0.0,0.0,0.7,False,0.21,0.0
AIT,Wholesale Distributors,Distribution Services,202651.0,28.87894,6.09102,0.00618152,0.0,0.0,0.0,0.0,0.7,False,0.21,7.0
AIV,Real Estate Investment Trusts,Finance,1284889.0,482.954545,1.64618,0.0,0.0,1.518667460423526,0.607,0.0,1.0,False,0.603,0.0
AJG,Insurance Brokers/Services,Finance,2180845.0,35.933773,2.27455,0.012839149999999999,0.0,1.09911850695742,0.44,0.0,1.0,False,0.52,18.0
AJNMY,Food: Specialty/Candy,Consumer Non-Durables,9555.0,60.678124,6.59904,0.0061087599999999995,0.0,0.0,0.0,0.0,0.4,False,0.12,9.0
AKAM,Data Processing Services,Technology Services,2862754.0,33.493788,2.99402,0.0,0.0,1.0988570550630925,0.44,0.0,1.0,False,0.52,8.0
AKTS,Pharmaceuticals: Major,Health Technology,255916.0,,-7.0961,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,6.0
ALB,Chemicals: Specialty,Process Industries,1277641.0,-33.69,3.17264,0.008235890000000001,0.0,0.0,0.0,0.0,0.5,False,0.15,13.0
ALDX,Biotechnology,Health Technology,751391.0,-2.82,2.06659,0.0,0.0,2.2887945843152244,0.916,0.0,0.2,False,0.518,0.0
ALGM,Semiconductors,Electronic Technology,2472968.0,-675.59,9.33125,0.0,0.0,1.5003348961821834,0.6,0.0,0.5,False,0.45,13.0
ALGN,Medical Specialties,Health Technology,712481.0,29.520982,3.10208,0.0,1.1855974167796992,1.6505054672993604,1.372,0.0,0.7,False,0.896,6.0
ALK,Airlines,Transportation,4248118.0,73.102804,1.16732,0.0,0.0,4.84871329198506,1.939,0.0,1.0,False,1.27,17.0
ALKS,Pharmaceuticals: Major,Health Technology,1161880.0,23.538859,3.06856,0.0,3.398635422388146,1.6946059389420445,2.717,0.0,1.0,False,1.659,14.0
ALLE,Tools & Hardware,Consumer Durables,846709.0,18.770394,5.62272,0.01512947,0.0,0.0,0.0,0.0,0.7,False,0.21,8.0
ALLO,Biotechnology,Health Technology,4520700.0,-2.48,1.67037,0.0,0.0,2.83170794494633,1.133,0.0,0.5,False,0.717,13.0
ALLY,Finance/Rental/Leasing,Finance,2006109.0,10.816804,1.02716,0.02703312,1.386731237803699,2.43389540091125,1.806,0.0,1.2,False,1.263,15.0
ALMR,Biotechnology,Health Technology,380522.0,,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
ALNY,Pharmaceuticals: Major,Health Technology,1092631.0,73.535771,174.387,0.0,1.087905911804474,0.0,0.653,0.0,1.0,False,0.627,19.0
ALRS,Major Banks,Finance,203191.0,25.921293,1.18197,0.0311804,0.0,2.115112904726854,0.846,1.0393466666666666,0.9,False,0.901,0.0
ALTY,Investment Trusts Or Mutual Funds,Miscellaneous,7552.0,17.183159,2.44045,0.057476,0.0,1.0244012374766949,0.41,1.5,0.6,False,0.685,0.0
ALV,Auto Parts: OEM,Producer Manufacturing,488600.0,12.458893,3.29495,0.02837919,1.203959292370518,0.0,0.722,0.0,0.9,False,0.631,19.0
ALYAF,Information Technology Services,Technology Services,1004.0,-5.84,0.879768,0.0,0.0,3.7396222640514316,1.496,0.0,-0.1,False,0.718,
AM,Oil & Gas Pipelines,Industrial Services,2562073.0,25.618188,5.36246,0.04117109,0.0,0.0,0.0,1.3723696666666667,1.2,False,0.634,0.0
AMADY,Packaged Software,Technology Services,8601.0,16.753818,4.34504,0.02089779,2.2084518287115213,2.0713273065380298,2.154,0.0,0.6,False,1.257,
AMAT,Industrial Machinery,Producer Manufacturing,4586471.0,40.407465,14.4159,0.00466425,0.0,0.0,0.0,0.0,1.0,False,0.3,29.0
AMC,Movies/Entertainment,Consumer Services,29868448.0,-1.11,-0.3925,0.0,0.0,0.0,0.0,0.0,0.3,False,0.09,1.0
AMCR,Containers/Packaging,Process Industries,3805754.0,24.872499,1.51003,0.0676919,0.0,1.65559624643219,0.662,1.5,1.0,False,0.931,18.0
AMCX,Cable/Satellite TV,Consumer Services,298990.0,5.111994,0.369208,0.0,5.9507112097549415,12.702866676778402,8.652,0.0,0.7,False,4.536,0.0
AMD,Semiconductors,Electronic Technology,34279146.0,133.779908,9.17187,0.0,0.0,1.5264062835604952,0.611,0.0,1.0,False,0.605,44.0
AME,Electrical Products,Producer Manufacturing,1983971.0,35.577243,5.07474,0.005392780000000001,0.0,0.0,0.0,0.0,1.0,False,0.3,15.0
AMG,Investment Managers,Finance,549025.0,12.965464,2.4568,0.00013575,1.1569196443721566,1.0175838489091502,1.101,0.0,0.7,False,0.76,6.0
AMGN,Biotechnology,Health Technology,3820658.0,24.086286,21.5476,0.02789892,2.311273726468248,0.0,1.387,0.0,1.2,False,1.054,5.0
AMH,Real Estate Investment Trusts,Finance,2435579.0,26.980764,1.65978,0.03863065,0.0,1.506223716396149,0.602,1.2876883333333335,1.2,False,0.919,12.0
AMKBY,Marine Shipping,Transportation,14939.0,13.122424,0.62174,0.01687589,2.4599113700334634,9.10348377135137,5.117,0.0,0.4,False,2.679,0.0625
AMKR,Semiconductors,Electronic Technology,10940687.0,39.788933,3.81294,0.00476588,1.1628861723937156,3.671707396392285,2.166,0.0,1.0,False,1.383,7.0
AMN,Personnel Services,Commercial Services,758230.0,-8.46,1.22548,0.0,0.0,2.040016972941215,0.816,0.0,0.2,False,0.468,3.0
AMPY,Integrated Oil,Energy Minerals,599946.0,6.213592,0.568116,0.0,2.414062590527347,4.400509755050026,3.209,0.0,0.7,False,1.815,0.0
AMRC,Engineering & Construction,Industrial Services,607401.0,35.697913,1.4481,0.0,0.0,1.7264001104896072,0.691,0.0,0.7,False,0.555,8.0
AMRX,Pharmaceuticals: Major,Health Technology,1360839.0,34.43939,-57.0096,0.0,2.322921515160402,0.0,1.394,0.0,0.8,False,0.937,0.0
AMS,Finance/Rental/Leasing,Finance,1155113.0,-7.25,0.396678,0.0,0.0,6.302340941519319,2.521,0.0,0.5,False,1.41,0.0
