symbol,industry,sector,volume,pe_ratio,pb_ratio,dividend_yield,current_price,low_52w,high_52w,position_52w,pe_comp,pb_comp,value_score,income_score,quality_score,momentum_score,yield_trap_flag,value_metric,buy_to_sell_ratio
A,Medical Specialties,Health Technology,1256426.0,25.250254,4.6865,0.00878449,114.54,104.355,160.27,0.182151479924886,1.3861246702706436,1.0924997332764323,1.269,0.0,1.0,0.1,False,0.836,18.0
AA,Aluminum,Non-Energy Minerals,3034044.0,15.753201,2.55617,0.00638672,62.61,24.15,75.6999,0.7460732222564932,0.0,0.0,0.0,0.0,1.0,0.3,False,0.295,4.5
AACI,Financial Conglomerates,Finance,101.0,,-12109.7561,0.0,9.93,9.74,9.9782,0.797649034424854,0.0,0.0,0.0,0.0,-0.3,0.5,False,0.0,0.0
AAEQ,Investment Trusts Or Mutual Funds,Miscellaneous,202.0,28.984962,5.727003,0.009819,51.5566,45.01,51.74,0.9727488855869244,0.0,0.0,0.0,0.0,0.4,0.2,False,0.13,0.0
AAL,Airlines,Transportation,49175055.0,38.654913,-1.9207,0.0,11.85,10.09,16.5,0.2745709828393135,0.0,0.0,0.0,0.0,0.8,0.1,False,0.215,15.0
AAON,Industrial Machinery,Producer Manufacturing,489410.0,72.2926,8.54256,0.00427396,93.56,62.0,116.04,0.5840118430792006,0.0,0.0,0.0,0.0,0.7,0.3,False,0.22,6.0
AAOX,Investment Trusts Or Mutual Funds,Miscellaneous,2915454.0,,,0.0,70.9,15.4546,76.9674,0.9013636186289684,0.0,0.0,0.0,0.0,0.3,0.5,False,0.15,0.0
AAP,Specialty Stores,Retail Trade,896443.0,81.15962,1.60864,0.016969289999999998,58.92,30.84,70.0,0.7170582226762003,0.0,4.600159140640541,1.84,0.0,0.7,0.3,False,1.048,0.6666666666666666
AAPL,Telecommunications Equipment,Electronic Technology,79915442.0,33.882848,46.7039,0.00371243,280.15,193.25,288.62,0.9111880046136098,1.4166459678950245,0.0,0.85,0.0,1.0,0.5,False,0.708,19.0
AAT,Real Estate Investment Trusts,Finance,264600.0,70.084317,1.12241,0.06544755000000001,20.77,17.72,21.61,0.7840616966580978,0.0,2.227350077066313,0.891,1.5,0.7,0.5,False,0.876,0.0
