date,willpower,negative_reinforcement,obsession,positive_reinforcement,program
2023-8-6,0.556,0.579,0.75,0.676,1.061
2023-8-7,0.778,0.526,0.75,0.676,1.23
2023-8-8,0.778,0.526,0.778,0.748,1.274
2023-8-9,0.667,0.579,0.778,0.676,1.1440000000000001
2023-8-12,0.778,0.579,0.778,0.676,1.255
2023-8-13,0.556,0.632,0.778,0.819,1.229
2023-8-14,0.778,0.684,0.778,0.748,1.4320000000000002
2023-8-15,0.778,0.684,0.778,0.748,1.4320000000000002
2023-8-16,0.778,0.789,0.778,0.748,1.5370000000000001
2023-8-22,0.556,0.579,0.778,0.676,1.033
2023-8-23,0.889,0.684,0.778,0.962,1.757
2023-8-24,0.778,0.842,0.778,0.819,1.661
2023-8-25,0.556,0.579,0.778,0.676,1.033
2023-8-28,0.889,0.737,0.778,0.748,1.5959999999999999
2023-9-3,0.667,0.526,0.778,0.605,1.02
2023-9-19,0.667,0.632,0.778,0.462,0.9829999999999999
2023-9-20,0.778,0.842,0.778,0.605,1.447
2023-9-21,0.667,0.684,0.778,0.819,1.392
