date,willpower,negative_reinforcement,obsession,positive_reinforcement,program
2023-08-06,56,58,75,68,52
2023-08-07,78,53,75,68,56
2023-08-08,78,53,78,75,57
2023-08-09,67,58,78,68,54
2023-08-12,78,58,78,68,56
2023-08-13,56,63,78,82,56
2023-08-14,78,68,78,75,61
2023-08-15,78,68,78,75,61
2023-08-16,78,79,78,75,63
2023-08-22,56,58,78,68,51
2023-08-23,89,68,78,96,69
2023-08-24,78,84,78,82,67
2023-08-25,56,58,78,68,51
2023-08-28,89,74,78,75,65
2023-09-03,67,53,78,60,50
2023-09-19,67,63,78,46,50
2023-09-20,78,84,78,60,61
2023-09-21,67,68,78,82,60
2023-10-02,78,68,78,89,64
2023-10-06,78,84,78,57,60
2023-10-11,89,61,80,53,56
2023-10-12,89,74,80,40,56
2023-11-26,100,70,79,60,63
2023-11-27,100,70,79,67,64
2023-11-28,100,86,79,80,72
2023-11-29,100,82,79,86,72
2023-12-3,89,77,79,64,63
